id,listnum,category,item,group
S101,2,animals,cheetah,normal
S101,2,animals,lion,normal
S101,2,animals,hiena,normal
S101,2,animals,parrot,all
S101,2,animals,lovebird,all
S101,2,animals,cat,all
S101,2,animals,germansheperd,all
S101,2,animals,terrier,all
S101,2,animals,poodle,all
S101,2,animals,bluerussian,all
S101,2,animals,persian,all
S101,2,animals,humunukuapuaa,all
S101,2,animals,pufferfish,all
S101,2,animals,robin,all
S101,2,animals,giraffe,all
S101,2,animals,elephant,all
S101,2,animals,hippo,all
S101,2,animals,monkey,all
S101,2,animals,shark,all
S101,2,animals,antelope,all
S101,2,animals,rhino,all
S101,2,animals,feasent,all
S101,2,animals,quaill,all
S101,2,animals,snake,all
S101,2,animals,leaopard,all
S101,2,animals,warthog,all
S101,2,animals,sebra,all
S101,2,animals,zebra,all
S101,5,animals,cheetah,all
S101,5,animals,cat,all
S101,5,animals,dog,all
S101,5,animals,lion,all
S101,5,animals,bird,all
S101,5,animals,fish,all
S101,5,animals,antelope,all
S101,5,animals,elephant,all
S101,5,animals,hiene,all
S101,5,animals,hiena-,all
S101,5,animals,hippo,all
S101,5,animals,zebra,all
S101,5,animals,peacock,all
S101,5,animals,pig,all
S101,5,animals,warthog,all
S101,5,animals,polarbear,all
S101,5,animals,grizzlybear,all
S101,5,animals,parrot,all
S101,5,animals,lovebird,all
S101,5,animals,sunconure,all
S101,5,animals,duck,all
S101,5,animals,goose,all
S101,5,animals,swan,all
S101,5,animals,hors,all
S101,5,animals,jaguar,all
S101,5,animals,monkey,all
S101,5,animals,snake,all
S101,5,animals,mouse,all
S101,5,animals,ant,all
S101,5,animals,llama,all
S101,5,animals,dolphin,all
S101,5,animals,fox,all
S101,5,animals,chiken,all
S101,5,animals,rooster,all
S101,8,animals,cheetah,all
S101,8,animals,lion,all
S101,8,animals,elephant,all
S101,8,animals,jaguar,all
S101,8,animals,snake,all
S101,8,animals,polar,all
S101,8,animals,bear,all
S101,8,animals,grizzlybear,all
S101,8,animals,antelope,all
S101,8,animals,snake,all
S101,8,animals,mouse,all
S101,8,animals,ant,all
S101,8,animals,hare,all
S101,8,animals,bunny,all
S101,8,animals,goose,all
S101,8,animals,geese,all
S101,8,animals,swan,all
S101,8,animals,bees,all
S101,8,animals,beatles,all
S101,8,animals,grasshopper,all
S101,8,animals,frogs,all
S101,8,animals,fox,all
S101,8,animals,sparrow,all
S101,8,animals,turkey,all
S101,8,animals,tortoise,all
S101,8,animals,wolves,all
S101,8,animals,guineapigs,all
S101,8,animals,pigeon,all
S101,8,animals,chiken,all
S101,8,animals,rooster,all
S101,8,animals,whale,all
S101,8,animals,dolphin,all
S101,8,animals,shark,all
S101,8,animals,snail,all
S101,8,animals,slug,all
S101,8,animals,dog,all
S101,8,animals,cat,all
S101,8,animals,bird,all
S101,8,animals,fish,all
S102,0,animals,bear,all
S102,0,animals,cat,all
S102,0,animals,dog,all
S102,0,animals,bird,all
S102,0,animals,skunk,all
S102,0,animals,tiger,all
S102,0,animals,lion,all
S102,0,animals,zebra,all
S102,0,animals,ostrich,all
S102,0,animals,giraffe,all
S102,0,animals,llama,all
S102,0,animals,turtle,all
S102,0,animals,elephant,all
S102,0,animals,monkey,all
S102,0,animals,horse,all
S102,0,animals,donkey,all
S102,0,animals,cheetah,all
S102,0,animals,fish,all
S102,3,animals,bear,all
S102,3,animals,fox,all
S102,3,animals,wolf,all
S102,3,animals,tiger,all
S102,3,animals,lion,all
S102,3,animals,elephant,all
S102,3,animals,horse,all
S102,3,animals,cow,all
S102,3,animals,donkey,all
S102,3,animals,monkey,all
S102,3,animals,cat,all
S102,3,animals,dog,all
S102,3,animals,llama,all
S102,3,animals,giraffe,all
S102,3,animals,owl,all
S102,3,animals,chicken,all
S102,3,animals,turkey,all
S102,3,animals,cheetah,all
S102,3,animals,leopard,all
S102,3,animals,jaguar,all
S102,3,animals,mountainlion,all
S102,3,animals,bobcat,all
S102,6,animals,bear,all
S102,6,animals,fox,all
S102,6,animals,dog,all
S102,6,animals,cat,all
S102,6,animals,lion,all
S102,6,animals,tiger,all
S102,6,animals,elephant,all
S102,6,animals,cheetah,all
S102,6,animals,leopard,all
S102,6,animals,jaguar,all
S102,6,animals,bobcat,all
S102,6,animals,horse,all
S102,6,animals,donkey,all
S102,6,animals,llama,all
S102,6,animals,giraffe,all
S102,6,animals,cat,all
S102,6,animals,dog,all
S102,6,animals,monkey,all
S102,6,animals,turtle,all
S102,6,animals,wolf,all
S102,6,animals,hyena,all
S102,6,animals,coyote,all
S102,6,animals,fox,all
S102,6,animals,zebra,all
S102,6,animals,falcom,all
S102,6,animals,owl,all
S102,6,animals,turkey,all
S102,6,animals,ostrich,all
S103,2,animals,dog,all
S103,2,animals,sloth,all
S103,2,animals,cat,all
S103,2,animals,human,all
S103,2,animals,cheeta,all
S103,2,animals,tiger,all
S103,2,animals,gorilla,all
S103,2,animals,zebra,all
S103,2,animals,lion,all
S103,2,animals,turtle,all
S103,2,animals,slowloris,all
S103,2,animals,rabbit,all
S103,2,animals,capybara,all
S103,2,animals,alpaca,all
S103,2,animals,lama,all
S103,2,animals,redpanda,all
S103,2,animals,panda,all
S103,2,animals,donkey,all
S103,2,animals,mule,all
S103,2,animals,giraffe,all
S103,2,animals,goat,all
S103,2,animals,rat,all
S103,2,animals,mouse,all
S103,2,animals,gerbil,all
S103,2,animals,hampster,all
S103,2,animals,ferret,all
S103,2,animals,weasle,all
S103,2,animals,mink,all
S103,2,animals,wolf,all
S103,2,animals,snake,all
S103,2,animals,goldfish,all
S103,2,animals,pirrana,all
S103,2,animals,mantis,all
S103,2,animals,ocelot,all
S103,2,animals,octopus,all
S103,2,animals,raven,all
S103,2,animals,crow,all
S103,2,animals,cranefly,all
S103,2,animals,crane,all
S103,2,animals,eagle,all
S103,2,animals,parrot,all
S103,2,animals,hawk,all
S103,2,animals,tick,all
S103,2,animals,snale,all
S103,2,animals,penguin,all
S103,5,animals,cat,all
S103,5,animals,dog,all
S103,5,animals,mouse,all
S103,5,animals,rat,all
S103,5,animals,koala,all
S103,5,animals,sloth,all
S103,5,animals,slowloris,all
S103,5,animals,deer,all
S103,5,animals,squirrel,all
S103,5,animals,chipmunk,all
S103,5,animals,moose,all
S103,5,animals,hawk,all
S103,5,animals,eagle,all
S103,5,animals,bluejay,all
S103,5,animals,hampster,all
S103,5,animals,gerbal,all
S103,5,animals,zebra,all
S103,5,animals,garrafe,all
S103,5,animals,hippo,all
S103,5,animals,lion,all
S103,5,animals,redpanda,all
S103,5,animals,panda,all
S103,5,animals,bat,all
S103,5,animals,bee,all
S103,5,animals,cheetah,all
S103,5,animals,lepard,all
S103,5,animals,ocelot,all
S103,5,animals,snake,all
S103,5,animals,wolf,all
S103,5,animals,bear,all
S103,5,animals,monkey,all
S103,5,animals,orangutan,all
S103,5,animals,gorrila,all
S103,5,animals,chimpanzee,all
S103,5,animals,horse,all
S103,5,animals,seacow,all
S103,5,animals,kangaroo,all
S103,5,animals,yellowjacket,all
S103,5,animals,hyena,all
S103,5,animals,sugarglider,all
S103,5,animals,blackheadedgull,all
S103,5,animals,seagull,all
S103,5,animals,sealion,all
S103,5,animals,seal,all
S103,5,animals,mantis,all
S103,5,animals,rhino,all
S103,5,animals,antelope,all
S103,5,animals,pig,all
S103,5,animals,boar,all
S103,5,animals,human,all
S103,5,animals,marmoset,all
S103,5,animals,lemur,all
S103,7,animals,cat,all
S103,7,animals,dog,all
S103,7,animals,human,all
S103,7,animals,bear,all
S103,7,animals,rat,all
S103,7,animals,pig,all
S103,7,animals,cow,all
S103,7,animals,seacow,all
S103,7,animals,chicken,all
S103,7,animals,panda,all
S103,7,animals,redpanda,all
S103,7,animals,boar,all
S103,7,animals,lemur,all
S103,7,animals,gorilla,all
S103,7,animals,orangutan,all
S103,7,animals,donkey,all
S103,7,animals,horse,all
S103,7,animals,deer,all
S103,7,animals,raptor,all
S103,7,animals,dinosaur,all
S103,7,animals,marmoset,all
S103,7,animals,hampster,all
S103,7,animals,alpaca,all
S103,7,animals,sheep,all
S103,7,animals,goat,all
S103,7,animals,llama,all
S103,7,animals,woolymamoth,all
S103,7,animals,elephant,all
S103,7,animals,zebra,all
S103,7,animals,goose,all
S103,7,animals,hawk,all
S103,7,animals,swan,all
S103,7,animals,kangaroo,all
S103,7,animals,mouse,all
S103,7,animals,crane,all
S103,7,animals,cranefly,all
S103,7,animals,fly,all
S103,7,animals,duck,all
S103,7,animals,hawk,all
S103,7,animals,crow,all
S103,7,animals,raven,all
S103,7,animals,mink,all
S103,7,animals,seal,all
S103,7,animals,otter,all
S103,7,animals,polarbear,all
S103,7,animals,dolphin,all
S103,7,animals,penguin,all
S103,7,animals,catfish,all
S103,7,animals,whale,all
S103,7,animals,baloogawhale,all
S103,7,animals,sealion,all
S103,7,animals,seacow,all
S103,7,animals,cow,all
S103,7,animals,lion,all
S103,7,animals,wolf,all
S103,7,animals,cheetah,all
S103,7,animals,lepard,all
S103,7,animals,ocelot,all
S103,7,animals,tiger,all
S103,7,animals,piranna,all
S103,7,animals,flyingsquirel,all
S104,1,animals,dog,all
S104,1,animals,cat,all
S104,1,animals,horse,all
S104,1,animals,elephant,all
S104,1,animals,lemur,all
S104,1,animals,squirrel,all
S104,1,animals,groundhog,all
S104,1,animals,horse,all
S104,1,animals,raccoon,all
S104,1,animals,opossum,all
S104,1,animals,baldeagle,all
S104,1,animals,woodpecker,all
S104,1,animals,bluejay,all
S104,1,animals,marmot,all
S104,1,animals,killerwhale,all
S104,1,animals,greatwhiteshark,all
S104,1,animals,dolphin,all
S104,1,animals,fox,all
S104,1,animals,polarbear,all
S104,1,animals,tiger,all
S104,1,animals,buffalo,all
S104,1,animals,wildebeast,all
S104,1,animals,deer,all
S104,1,animals,platypus,all
S104,1,animals,python,all
