id,listnum,category,item,group
S101,2,animals,cheetah,normal
S101,2,animals,lion,normal
S101,2,animals,hiena,normal
S101,2,animals,parrot,all
S101,2,animals,lovebird,all
S101,2,animals,cat,all
S101,2,animals,germansheperd,all
S101,2,animals,terrier,all
S101,2,animals,poodle,all
S101,2,animals,bluerussian,all
S101,2,animals,persian,all
S101,2,animals,humunukuapuaa,all
S101,2,animals,pufferfish,all
S101,2,animals,robin,all
S101,2,animals,giraffe,all
S101,2,animals,elephant,all
S101,2,animals,hippo,all
S101,2,animals,monkey,all
S101,2,animals,shark,all
S101,2,animals,antelope,all
S101,2,animals,rhino,all
S101,2,animals,feasent,all
S101,2,animals,quaill,all
S101,2,animals,snake,all
S101,2,animals,leaopard,all
S101,2,animals,warthog,all
S101,2,animals,sebra,all
S101,2,animals,zebra,all
S101,5,animals,cheetah,all
S101,5,animals,cat,all
S101,5,animals,dog,all
S101,5,animals,lion,all
S101,5,animals,bird,all
S101,5,animals,fish,all
S101,5,animals,antelope,all
S101,5,animals,elephant,all
S101,5,animals,hiene,all
S101,5,animals,hiena-,all
S101,5,animals,hippo,all
S101,5,animals,zebra,all
S101,5,animals,peacock,all
S101,5,animals,pig,all
S101,5,animals,warthog,all
S101,5,animals,polarbear,all
S101,5,animals,grizzlybear,all
S101,5,animals,parrot,all
S101,5,animals,lovebird,all
S101,5,animals,sunconure,all
S101,5,animals,duck,all
S101,5,animals,goose,all
S101,5,animals,swan,all
S101,5,animals,hors,all
S101,5,animals,jaguar,all
S101,5,animals,monkey,all
S101,5,animals,snake,all
S101,5,animals,mouse,all
S101,5,animals,ant,all
S101,5,animals,llama,all
S101,5,animals,dolphin,all
S101,5,animals,fox,all
S101,5,animals,chiken,all
S101,5,animals,rooster,all
S101,8,animals,cheetah,all
S101,8,animals,lion,all
S101,8,animals,elephant,all
S101,8,animals,jaguar,all
S101,8,animals,snake,all
S101,8,animals,polar,all
S101,8,animals,bear,all
S101,8,animals,grizzlybear,all
S101,8,animals,antelope,all
S101,8,animals,snake,all
S101,8,animals,mouse,all
S101,8,animals,ant,all
S101,8,animals,hare,all
S101,8,animals,bunny,all
S101,8,animals,goose,all
S101,8,animals,geese,all
S101,8,animals,swan,all
S101,8,animals,bees,all
S101,8,animals,beatles,all
S101,8,animals,grasshopper,all
S101,8,animals,frogs,all
S101,8,animals,fox,all
S101,8,animals,sparrow,all
S101,8,animals,turkey,all
S101,8,animals,tortoise,all
S101,8,animals,wolves,all
S101,8,animals,guineapigs,all
S101,8,animals,pigeon,all
S101,8,animals,chiken,all
S101,8,animals,rooster,all
S101,8,animals,whale,all
S101,8,animals,dolphin,all
S101,8,animals,shark,all
S101,8,animals,snail,all
S101,8,animals,slug,all
S101,8,animals,dog,all
S101,8,animals,cat,all
S101,8,animals,bird,all
S101,8,animals,fish,all
