id,listnum,category,item,group
S101,2,animals,cheetah,fakegroupB
S101,2,animals,lion,fakegroupB
S101,2,animals,hiena,fakegroupB
S101,2,animals,parrot,fakegroupA
S101,2,animals,lovebird,fakegroupA
S101,2,animals,cat,fakegroupA
S101,2,animals,germansheperd,fakegroupA
S101,2,animals,terrier,fakegroupA
S101,2,animals,poodle,fakegroupA
S101,2,animals,bluerussian,fakegroupA
S101,2,animals,persian,fakegroupA
S101,2,animals,humunukuapuaa,fakegroupA
S101,2,animals,pufferfish,fakegroupA
S101,2,animals,robin,fakegroupA
S101,2,animals,giraffe,fakegroupA
S101,2,animals,elephant,fakegroupA
S101,2,animals,hippo,fakegroupA
S101,2,animals,monkey,fakegroupA
S101,2,animals,shark,fakegroupA
S101,2,animals,antelope,fakegroupA
S101,2,animals,rhino,fakegroupA
S101,2,animals,feasent,fakegroupA
S101,2,animals,quaill,fakegroupA
S101,2,animals,snake,fakegroupA
S101,2,animals,leaopard,fakegroupA
S101,2,animals,warthog,fakegroupA
S101,2,animals,sebra,fakegroupA
S101,2,animals,zebra,fakegroupA
S101,5,animals,cheetah,fakegroupA
S101,5,animals,cat,fakegroupA
S101,5,animals,dog,fakegroupA
S101,5,animals,lion,fakegroupA
S101,5,animals,bird,fakegroupA
S101,5,animals,fish,fakegroupA
S101,5,animals,antelope,fakegroupA
S101,5,animals,elephant,fakegroupA
S101,5,animals,hiene,fakegroupA
S101,5,animals,hiena-,fakegroupA
S101,5,animals,hippo,fakegroupA
S101,5,animals,zebra,fakegroupA
S101,5,animals,peacock,fakegroupA
S101,5,animals,pig,fakegroupA
S101,5,animals,warthog,fakegroupA
S101,5,animals,polarbear,fakegroupA
S101,5,animals,grizzlybear,fakegroupA
S101,5,animals,parrot,fakegroupA
S101,5,animals,lovebird,fakegroupA
S101,5,animals,sunconure,fakegroupA
S101,5,animals,duck,fakegroupA
S101,5,animals,goose,fakegroupA
S101,5,animals,swan,fakegroupA
S101,5,animals,hors,fakegroupA
S101,5,animals,jaguar,fakegroupA
S101,5,animals,monkey,fakegroupA
S101,5,animals,snake,fakegroupA
S101,5,animals,mouse,fakegroupA
S101,5,animals,ant,fakegroupA
S101,5,animals,llama,fakegroupA
S101,5,animals,dolphin,fakegroupA
S101,5,animals,fox,fakegroupA
S101,5,animals,chiken,fakegroupA
S101,5,animals,rooster,fakegroupA
S101,8,animals,cheetah,fakegroupA
S101,8,animals,lion,fakegroupA
S101,8,animals,elephant,fakegroupA
S101,8,animals,jaguar,fakegroupA
S101,8,animals,snake,fakegroupA
S101,8,animals,polar,fakegroupA
S101,8,animals,bear,fakegroupA
S101,8,animals,grizzlybear,fakegroupA
S101,8,animals,antelope,fakegroupA
S101,8,animals,snake,fakegroupA
S101,8,animals,mouse,fakegroupA
S101,8,animals,ant,fakegroupA
S101,8,animals,hare,fakegroupA
S101,8,animals,bunny,fakegroupA
S101,8,animals,goose,fakegroupA
S101,8,animals,geese,fakegroupA
S101,8,animals,swan,fakegroupA
S101,8,animals,bees,fakegroupA
S101,8,animals,beatles,fakegroupA
S101,8,animals,grasshopper,fakegroupA
S101,8,animals,frogs,fakegroupA
S101,8,animals,fox,fakegroupA
S101,8,animals,sparrow,fakegroupA
S101,8,animals,turkey,fakegroupA
S101,8,animals,tortoise,fakegroupA
S101,8,animals,wolves,fakegroupA
S101,8,animals,guineapigs,fakegroupA
S101,8,animals,pigeon,fakegroupA
S101,8,animals,chiken,fakegroupA
S101,8,animals,rooster,fakegroupA
S101,8,animals,whale,fakegroupA
S101,8,animals,dolphin,fakegroupA
S101,8,animals,shark,fakegroupA
S101,8,animals,snail,fakegroupA
S101,8,animals,slug,fakegroupA
S101,8,animals,dog,fakegroupA
S101,8,animals,cat,fakegroupA
S101,8,animals,bird,fakegroupA
S101,8,animals,fish,fakegroupA
S102,0,animals,bear,fakegroupA
S102,0,animals,cat,fakegroupA
S102,0,animals,dog,fakegroupA
S102,0,animals,bird,fakegroupA
S102,0,animals,skunk,fakegroupA
S102,0,animals,tiger,fakegroupA
S102,0,animals,lion,fakegroupA
S102,0,animals,zebra,fakegroupA
S102,0,animals,ostrich,fakegroupA
S102,0,animals,giraffe,fakegroupA
S102,0,animals,llama,fakegroupA
S102,0,animals,turtle,fakegroupA
S102,0,animals,elephant,fakegroupA
S102,0,animals,monkey,fakegroupA
S102,0,animals,horse,fakegroupA
S102,0,animals,donkey,fakegroupA
S102,0,animals,cheetah,fakegroupA
S102,0,animals,fish,fakegroupA
S102,3,animals,bear,fakegroupA
S102,3,animals,fox,fakegroupA
S102,3,animals,wolf,fakegroupA
S102,3,animals,tiger,fakegroupA
S102,3,animals,lion,fakegroupA
S102,3,animals,elephant,fakegroupA
S102,3,animals,horse,fakegroupA
S102,3,animals,cow,fakegroupA
S102,3,animals,donkey,fakegroupA
S102,3,animals,monkey,fakegroupA
S102,3,animals,cat,fakegroupA
S102,3,animals,dog,fakegroupA
S102,3,animals,llama,fakegroupA
S102,3,animals,giraffe,fakegroupA
S102,3,animals,owl,fakegroupA
S102,3,animals,chicken,fakegroupA
S102,3,animals,turkey,fakegroupA
S102,3,animals,cheetah,fakegroupA
S102,3,animals,leopard,fakegroupA
S102,3,animals,jaguar,fakegroupA
S102,3,animals,mountainlion,fakegroupA
S102,3,animals,bobcat,fakegroupA
S102,6,animals,bear,fakegroupA
S102,6,animals,fox,fakegroupA
S102,6,animals,dog,fakegroupA
S102,6,animals,cat,fakegroupA
S102,6,animals,lion,fakegroupA
S102,6,animals,tiger,fakegroupA
S102,6,animals,elephant,fakegroupA
S102,6,animals,cheetah,fakegroupA
S102,6,animals,leopard,fakegroupA
S102,6,animals,jaguar,fakegroupA
S102,6,animals,bobcat,fakegroupA
S102,6,animals,horse,fakegroupA
S102,6,animals,donkey,fakegroupA
S102,6,animals,llama,fakegroupA
S102,6,animals,giraffe,fakegroupA
S102,6,animals,cat,fakegroupA
S102,6,animals,dog,fakegroupA
S102,6,animals,monkey,fakegroupA
S102,6,animals,turtle,fakegroupA
S102,6,animals,wolf,fakegroupA
S102,6,animals,hyena,fakegroupA
S102,6,animals,coyote,fakegroupA
S102,6,animals,fox,fakegroupA
S102,6,animals,zebra,fakegroupA
S102,6,animals,falcom,fakegroupA
S102,6,animals,owl,fakegroupA
S102,6,animals,turkey,fakegroupA
S102,6,animals,ostrich,fakegroupA
S103,2,animals,dog,fakegroupA
S103,2,animals,sloth,fakegroupA
S103,2,animals,cat,fakegroupA
S103,2,animals,human,fakegroupA
S103,2,animals,cheeta,fakegroupA
S103,2,animals,tiger,fakegroupA
S103,2,animals,gorilla,fakegroupA
S103,2,animals,zebra,fakegroupA
S103,2,animals,lion,fakegroupA
S103,2,animals,turtle,fakegroupA
S103,2,animals,slowloris,fakegroupA
S103,2,animals,rabbit,fakegroupA
S103,2,animals,capybara,fakegroupA
S103,2,animals,alpaca,fakegroupA
S103,2,animals,lama,fakegroupA
S103,2,animals,redpanda,fakegroupA
S103,2,animals,panda,fakegroupA
S103,2,animals,donkey,fakegroupA
S103,2,animals,mule,fakegroupA
S103,2,animals,giraffe,fakegroupA
S103,2,animals,goat,fakegroupA
S103,2,animals,rat,fakegroupA
S103,2,animals,mouse,fakegroupA
S103,2,animals,gerbil,fakegroupA
S103,2,animals,hampster,fakegroupA
S103,2,animals,ferret,fakegroupA
S103,2,animals,weasle,fakegroupA
S103,2,animals,mink,fakegroupA
S103,2,animals,wolf,fakegroupA
S103,2,animals,snake,fakegroupA
S103,2,animals,goldfish,fakegroupA
S103,2,animals,pirrana,fakegroupA
S103,2,animals,mantis,fakegroupA
S103,2,animals,ocelot,fakegroupA
S103,2,animals,octopus,fakegroupA
S103,2,animals,raven,fakegroupA
S103,2,animals,crow,fakegroupA
S103,2,animals,cranefly,fakegroupA
S103,2,animals,crane,fakegroupA
S103,2,animals,eagle,fakegroupA
S103,2,animals,parrot,fakegroupA
S103,2,animals,hawk,fakegroupA
S103,2,animals,tick,fakegroupA
S103,2,animals,snale,fakegroupA
S103,2,animals,penguin,fakegroupA
S103,5,animals,cat,fakegroupA
S103,5,animals,dog,fakegroupA
S103,5,animals,mouse,fakegroupA
S103,5,animals,rat,fakegroupA
S103,5,animals,koala,fakegroupA
S103,5,animals,sloth,fakegroupA
S103,5,animals,slowloris,fakegroupA
S103,5,animals,deer,fakegroupA
S103,5,animals,squirrel,fakegroupA
S103,5,animals,chipmunk,fakegroupA
S103,5,animals,moose,fakegroupA
S103,5,animals,hawk,fakegroupA
S103,5,animals,eagle,fakegroupA
S103,5,animals,bluejay,fakegroupA
S103,5,animals,hampster,fakegroupA
S103,5,animals,gerbal,fakegroupA
S103,5,animals,zebra,fakegroupA
S103,5,animals,garrafe,fakegroupA
S103,5,animals,hippo,fakegroupA
S103,5,animals,lion,fakegroupA
S103,5,animals,redpanda,fakegroupA
S103,5,animals,panda,fakegroupA
S103,5,animals,bat,fakegroupA
S103,5,animals,bee,fakegroupA
S103,5,animals,cheetah,fakegroupA
S103,5,animals,lepard,fakegroupA
S103,5,animals,ocelot,fakegroupA
S103,5,animals,snake,fakegroupA
S103,5,animals,wolf,fakegroupA
S103,5,animals,bear,fakegroupA
S103,5,animals,monkey,fakegroupA
S103,5,animals,orangutan,fakegroupA
S103,5,animals,gorrila,fakegroupA
S103,5,animals,chimpanzee,fakegroupA
S103,5,animals,horse,fakegroupA
S103,5,animals,seacow,fakegroupA
S103,5,animals,kangaroo,fakegroupA
S103,5,animals,yellowjacket,fakegroupA
S103,5,animals,hyena,fakegroupA
S103,5,animals,sugarglider,fakegroupA
S103,5,animals,blackheadedgull,fakegroupA
S103,5,animals,seagull,fakegroupA
S103,5,animals,sealion,fakegroupA
S103,5,animals,seal,fakegroupA
S103,5,animals,mantis,fakegroupA
S103,5,animals,rhino,fakegroupA
S103,5,animals,antelope,fakegroupA
S103,5,animals,pig,fakegroupA
S103,5,animals,boar,fakegroupA
S103,5,animals,human,fakegroupA
S103,5,animals,marmoset,fakegroupA
S103,5,animals,lemur,fakegroupA
S103,7,animals,cat,fakegroupA
S103,7,animals,dog,fakegroupA
S103,7,animals,human,fakegroupA
S103,7,animals,bear,fakegroupA
S103,7,animals,rat,fakegroupA
S103,7,animals,pig,fakegroupA
S103,7,animals,cow,fakegroupA
S103,7,animals,seacow,fakegroupA
S103,7,animals,chicken,fakegroupA
